Name,Typing,Size,Abilities,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total Base Stats
Butterfree,"BUG,FLYING","1.1 m, 32 kg","Compound Eyes,Tinted Lens",60,45,50,90,80,70,395
Butterfree-Gmax,"BUG,FLYING","17 m, 0 kg","Compound Eyes,Tinted Lens",60,45,50,90,80,70,395
Weedle,"BUG,POISON","0.3 m, 3.2 kg","Shield Dust,Run Away",40,35,30,20,20,50,195
Kakuna,"BUG,POISON","0.6 m, 10 kg",Shed Skin,45,25,50,25,25,35,205
Beedrill,"BUG,POISON","1 m, 29.5 kg","Swarm,Sniper",65,90,40,45,80,75,395
Beedrill-Mega,"BUG,POISON","1.4 m, 40.5 kg",Adaptability,65,150,40,15,80,145,495
Pidgey,"NORMAL,FLYING","0.3 m, 1.8 kg","Keen Eye,Tangled Feet,Big Pecks",40,45,40,35,35,56,251
Pidgeotto,"NORMAL,FLYING","1.1 m, 30 kg","Keen Eye,Tangled Feet,Big Pecks",63,60,55,50,50,71,349
Pidgeot,"NORMAL,FLYING","1.5 m, 39.5 kg","Keen Eye,Tangled Feet,Big Pecks",83,80,75,70,70,101,479
Pidgeot-Mega,"NORMAL,FLYING","2.2 m, 50.5 kg",No Guard,83,80,80,135,80,121,579
Rattata,NORMAL,"0.3 m, 3.5 kg","Run Away,Guts,Hustle",30,56,35,25,35,72,253
Rattata-Alola,"DARK,NORMAL","0.3 m, 3.8 kg","Gluttony,Hustle,Thick Fat",30,56,35,25,35,72,253
Raticate,NORMAL,"0.7 m, 18.5 kg","Run Away,Guts,Hustle",55,81,60,50,70,97,413
Raticate-Alola,"DARK,NORMAL","0.7 m, 25.5 kg","Gluttony,Hustle,Thick Fat",75,71,70,40,80,77,413
Raticate-Alola-Totem,"DARK,NORMAL","1.4 m, 105 kg",Thick Fat,75,71,70,40,80,77,413
Spearow,"NORMAL,FLYING","0.3 m, 2 kg","Keen Eye,Sniper",40,60,30,31,31,70,262
Fearow,"NORMAL,FLYING","1.2 m, 38 kg","Keen Eye,Sniper",65,90,65,61,61,100,442
Ekans,POISON,"2 m, 6.9 kg","Intimidate,Shed Skin,Unnerve",35,60,44,40,54,55,288
Arbok,POISON,"3.5 m, 65 kg","Intimidate,Shed Skin,Unnerve",60,95,69,65,79,80,448
Pikachu,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Rock-Star,ELECTRIC,"0.4 m, 6 kg",Lightning Rod,35,55,40,50,50,90,320
Pikachu-Belle,ELECTRIC,"0.4 m, 6 kg",Lightning Rod,35,55,40,50,50,90,320
Pikachu-Pop-Star,ELECTRIC,"0.4 m, 6 kg",Lightning Rod,35,55,40,50,50,90,320
Pikachu-PhD,ELECTRIC,"0.4 m, 6 kg",Lightning Rod,35,55,40,50,50,90,320
Pikachu-Libre,ELECTRIC,"0.4 m, 6 kg",Lightning Rod,35,55,40,50,50,90,320
Pikachu-Original,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Hoenn,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Sinnoh,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Unova,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Kalos,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Alola,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Partner,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-Starter,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",45,80,50,75,60,120,430
Pikachu-Gmax,ELECTRIC,"21 m, 0 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Pikachu-World,ELECTRIC,"0.4 m, 6 kg","Static,Lightning Rod",35,55,40,50,50,90,320
Raichu,ELECTRIC,"0.8 m, 30 kg","Static,Lightning Rod",60,90,55,90,80,110,485
Raichu-Alola,"ELECTRIC,PSYCHIC","0.7 m, 21 kg",Surge Surfer,60,85,50,95,85,110,485
Sandshrew,GROUND,"0.6 m, 12 kg","Sand Veil,Sand Rush",50,75,85,20,30,40,300
Sandshrew-Alola,"ICE,STEEL","0.7 m, 40 kg","Snow Cloak,Slush Rush",50,75,90,10,35,40,300
Sandslash,GROUND,"1 m, 29.5 kg","Sand Veil,Sand Rush",75,100,110,45,55,65,450
Sandslash-Alola,"ICE,STEEL","1.2 m, 55 kg","Snow Cloak,Slush Rush",75,100,120,25,65,65,450
Nidoran-F,POISON,"0.4 m, 7 kg","Poison Point,Rivalry,Hustle",55,47,52,40,40,41,275
Nidorina,POISON,"0.8 m, 20 kg","Poison Point,Rivalry,Hustle",70,62,67,55,55,56,365
Nidoqueen,"POISON,GROUND","1.3 m, 60 kg","Poison Point,Rivalry,Sheer Force",90,92,87,75,85,76,505
Nidoran-M,POISON,"0.5 m, 9 kg","Poison Point,Rivalry,Hustle",46,57,40,40,40,50,273
Nidorino,POISON,"0.9 m, 19.5 kg","Poison Point,Rivalry,Hustle",61,72,57,55,55,65,365
Nidoking,"POISON,GROUND","1.4 m, 62 kg","Poison Point,Rivalry,Sheer Force",81,102,77,85,75,85,505
Clefairy,FAIRY,"0.6 m, 7.5 kg","Cute Charm,Magic Guard,Friend Guard",70,45,48,60,65,35,323
Clefable,FAIRY,"1.3 m, 40 kg","Cute Charm,Magic Guard,Unaware",95,70,73,95,90,60,483
Vulpix,FIRE,"0.6 m, 9.9 kg","Flash Fire,Drought",38,41,40,50,65,65,299
Vulpix-Alola,ICE,"0.6 m, 9.9 kg","Snow Cloak,Snow Warning",38,41,40,50,65,65,299
Ninetales,FIRE,"1.1 m, 19.9 kg","Flash Fire,Drought",73,76,75,81,100,100,505
Ninetales-Alola,"ICE,FAIRY","1.1 m, 19.9 kg","Snow Cloak,Snow Warning",73,67,75,81,100,109,505
Jigglypuff,"NORMAL,FAIRY","0.5 m, 5.5 kg","Cute Charm,Competitive,Friend Guard",115,45,20,45,25,20,270
Wigglytuff,"NORMAL,FAIRY","1 m, 12 kg","Cute Charm,Competitive,Frisk",140,70,45,85,50,45,435
Zubat,"POISON,FLYING","0.8 m, 7.5 kg","Inner Focus,Infiltrator",40,45,35,30,40,55,245
Golbat,"POISON,FLYING","1.6 m, 55 kg","Inner Focus,Infiltrator",75,80,70,65,75,90,455
Oddish,"GRASS,POISON","0.5 m, 5.4 kg","Chlorophyll,Run Away",45,50,55,75,65,30,320
Gloom,"GRASS,POISON","0.8 m, 8.6 kg","Chlorophyll,Stench",60,65,70,85,75,40,395
Vileplume,"GRASS,POISON","1.2 m, 18.6 kg","Chlorophyll,Effect Spore",75,80,85,110,90,50,490
Paras,"BUG,GRASS","0.3 m, 5.4 kg","Effect Spore,Dry Skin,Damp",35,70,55,45,55,25,285
Parasect,"BUG,GRASS","1 m, 29.5 kg","Effect Spore,Dry Skin,Damp",60,95,80,60,80,30,405
Venonat,"BUG,POISON","1 m, 30 kg","Compound Eyes,Tinted Lens,Run Away",60,55,50,40,55,45,305
Venomoth,"BUG,POISON","1.5 m, 12.5 kg","Shield Dust,Tinted Lens,Wonder Skin",70,65,60,90,75,90,450
Diglett,GROUND,"0.2 m, 0.8 kg","Sand Veil,Arena Trap,Sand Force",10,55,25,35,45,95,265
Diglett-Alola,"GROUND,STEEL","0.2 m, 1 kg","Sand Veil,Tangling Hair,Sand Force",10,55,30,35,45,90,265
Dugtrio,GROUND,"0.7 m, 33.3 kg","Sand Veil,Arena Trap,Sand Force",35,100,50,50,70,120,425
Dugtrio-Alola,"GROUND,STEEL","0.7 m, 66.6 kg","Sand Veil,Tangling Hair,Sand Force",35,100,60,50,70,110,425
Meowth,NORMAL,"0.4 m, 4.2 kg","Pickup,Technician,Unnerve",40,45,35,40,40,90,290
Meowth-Alola,DARK,"0.4 m, 4.2 kg","Pickup,Technician,Rattled",40,35,35,50,40,90,290
Meowth-Galar,STEEL,"0.4 m, 7.5 kg","Pickup,Tough Claws,Unnerve",50,65,55,40,40,40,290
Meowth-Gmax,NORMAL,"33 m, 0 kg","Pickup,Technician,Unnerve",40,45,35,40,40,90,290
Persian,NORMAL,"1 m, 32 kg","Limber,Technician,Unnerve",65,70,60,65,65,115,440
Persian-Alola,DARK,"1.1 m, 33 kg","Fur Coat,Technician,Rattled",65,60,60,75,65,115,440
Psyduck,WATER,"0.8 m, 19.6 kg","Damp,Cloud Nine,Swift Swim",50,52,48,65,50,55,320
Golduck,WATER,"1.7 m, 76.6 kg","Damp,Cloud Nine,Swift Swim",80,82,78,95,80,85,500
Mankey,FIGHTING,"0.5 m, 28 kg","Vital Spirit,Anger Point,Defiant",40,80,35,35,45,70,305
Primeape,FIGHTING,"1 m, 32 kg","Vital Spirit,Anger Point,Defiant",65,105,60,60,70,95,455
Growlithe,FIRE,"0.7 m, 19 kg","Intimidate,Flash Fire,Justified",55,70,45,70,50,60,350
Arcanine,FIRE,"1.9 m, 155 kg","Intimidate,Flash Fire,Justified",90,110,80,100,80,95,555
Poliwag,WATER,"0.6 m, 12.4 kg","Water Absorb,Damp,Swift Swim",40,50,40,40,40,90,300
Poliwhirl,WATER,"1 m, 20 kg","Water Absorb,Damp,Swift Swim",65,65,65,50,50,90,385
Poliwrath,"WATER,FIGHTING","1.3 m, 54 kg","Water Absorb,Damp,Swift Swim",90,95,95,70,90,70,510
Abra,PSYCHIC,"0.9 m, 19.5 kg","Synchronize,Inner Focus,Magic Guard",25,20,15,105,55,90,310
Kadabra,PSYCHIC,"1.3 m, 56.5 kg","Synchronize,Inner Focus,Magic Guard",40,35,30,120,70,105,400
Alakazam,PSYCHIC,"1.5 m, 48 kg","Synchronize,Inner Focus,Magic Guard",55,50,45,135,95,120,500
Alakazam-Mega,PSYCHIC,"1.2 m, 48 kg",Trace,55,50,65,175,105,150,600
Machop,FIGHTING,"0.8 m, 19.5 kg","Guts,No Guard,Steadfast",70,80,50,35,35,35,305
Machoke,FIGHTING,"1.5 m, 70.5 kg","Guts,No Guard,Steadfast",80,100,70,50,60,45,405
Machamp,FIGHTING,"1.6 m, 130 kg","Guts,No Guard,Steadfast",90,130,80,65,85,55,505
Machamp-Gmax,FIGHTING,"25 m, 0 kg","Guts,No Guard,Steadfast",90,130,80,65,85,55,505
Bellsprout,"GRASS,POISON","0.7 m, 4 kg","Chlorophyll,Gluttony",50,75,35,70,30,40,300
Weepinbell,"GRASS,POISON","1 m, 6.4 kg","Chlorophyll,Gluttony",65,90,50,85,45,55,390
Victreebel,"GRASS,POISON","1.7 m, 15.5 kg","Chlorophyll,Gluttony",80,105,65,100,70,70,490
Tentacool,"WATER,POISON","0.9 m, 45.5 kg","Clear Body,Liquid Ooze,Rain Dish",40,40,35,50,100,70,335
Tentacruel,"WATER,POISON","1.6 m, 55 kg","Clear Body,Liquid Ooze,Rain Dish",80,70,65,80,120,100,515
Geodude,"ROCK,GROUND","0.4 m, 20 kg","Rock Head,Sturdy,Sand Veil",40,80,100,30,30,20,300
Geodude-Alola,"ROCK,ELECTRIC","0.4 m, 20.3 kg","Magnet Pull,Sturdy,Galvanize",40,80,100,30,30,20,300
Graveler,"ROCK,GROUND","1 m, 105 kg","Rock Head,Sturdy,Sand Veil",55,95,115,45,45,35,390
Graveler-Alola,"ROCK,ELECTRIC","1 m, 110 kg","Magnet Pull,Sturdy,Galvanize",55,95,115,45,45,35,390
Golem,"ROCK,GROUND","1.4 m, 300 kg","Rock Head,Sturdy,Sand Veil",80,120,130,55,65,45,495
Golem-Alola,"ROCK,ELECTRIC","1.7 m, 316 kg","Magnet Pull,Sturdy,Galvanize",80,120,130,55,65,45,495
Ponyta,FIRE,"1 m, 30 kg","Run Away,Flash Fire,Flame Body",50,85,55,65,65,90,410
Ponyta-Galar,PSYCHIC,"0.8 m, 24 kg","Run Away,Pastel Veil,Anticipation",50,85,55,65,65,90,410
Rapidash,FIRE,"1.7 m, 95 kg","Run Away,Flash Fire,Flame Body",65,100,70,80,80,105,500
Rapidash-Galar,"PSYCHIC,FAIRY","1.7 m, 80 kg","Run Away,Pastel Veil,Anticipation",65,100,70,80,80,105,500
Slowpoke,"WATER,PSYCHIC","1.2 m, 36 kg","Oblivious,Own Tempo,Regenerator",90,65,65,40,40,15,315
Slowpoke-Galar,PSYCHIC,"1.2 m, 36 kg","Gluttony,Own Tempo,Regenerator",90,65,65,40,40,15,315
Slowbro,"WATER,PSYCHIC","1.6 m, 78.5 kg","Oblivious,Own Tempo,Regenerator",95,75,110,100,80,30,490
Slowbro-Mega,"WATER,PSYCHIC","2 m, 120 kg",Shell Armor,95,75,180,130,80,30,590
Slowbro-Galar,"POISON,PSYCHIC","1.6 m, 70.5 kg","Quick Draw,Own Tempo,Regenerator",95,100,95,100,70,30,490
Magnemite,"ELECTRIC,STEEL","0.3 m, 6 kg","Magnet Pull,Sturdy,Analytic",25,35,70,95,55,45,325
Magneton,"ELECTRIC,STEEL","1 m, 60 kg","Magnet Pull,Sturdy,Analytic",50,60,95,120,70,70,465
Farfetch’d,"NORMAL,FLYING","0.8 m, 15 kg","Keen Eye,Inner Focus,Defiant",52,90,55,58,62,60,377
Farfetch’d-Galar,FIGHTING,"0.8 m, 15 kg","Steadfast,Scrappy",52,95,55,58,62,55,377
Doduo,"NORMAL,FLYING","1.4 m, 39.2 kg","Run Away,Early Bird,Tangled Feet",35,85,45,35,35,75,310
Dodrio,"NORMAL,FLYING","1.8 m, 85.2 kg","Run Away,Early Bird,Tangled Feet",60,110,70,60,60,110,470
Seel,WATER,"1.1 m, 90 kg","Thick Fat,Hydration,Ice Body",65,45,55,45,70,45,325
Dewgong,"WATER,ICE","1.7 m, 120 kg","Thick Fat,Hydration,Ice Body",90,70,80,70,95,70,475
Grimer,POISON,"0.9 m, 30 kg","Stench,Sticky Hold,Poison Touch",80,80,50,40,50,25,325
Grimer-Alola,"POISON,DARK","0.7 m, 42 kg","Poison Touch,Gluttony,Power of Alchemy",80,80,50,40,50,25,325
Muk,POISON,"1.2 m, 30 kg","Stench,Sticky Hold,Poison Touch",105,105,75,65,100,50,500
Muk-Alola,"POISON,DARK","1 m, 52 kg","Poison Touch,Gluttony,Power of Alchemy",105,105,75,65,100,50,500
Shellder,WATER,"0.3 m, 4 kg","Shell Armor,Skill Link,Overcoat",30,65,100,45,25,40,305
Cloyster,"WATER,ICE","1.5 m, 132.5 kg","Shell Armor,Skill Link,Overcoat",50,95,180,85,45,70,525
Gastly,"GHOST,POISON","1.3 m, 0.1 kg",Levitate,30,35,30,100,35,80,310
Haunter,"GHOST,POISON","1.6 m, 0.1 kg",Levitate,45,50,45,115,55,95,405
Gengar,"GHOST,POISON","1.5 m, 40.5 kg",Cursed Body,60,65,60,130,75,110,500
Gengar-Mega,"GHOST,POISON","1.4 m, 40.5 kg",Shadow Tag,60,65,80,170,95,130,600
Gengar-Gmax,"GHOST,POISON","20 m, 0 kg",Cursed Body,60,65,60,130,75,110,500
Onix,"ROCK,GROUND","8.8 m, 210 kg","Rock Head,Sturdy,Weak Armor",35,45,160,30,45,70,385
Drowzee,PSYCHIC,"1 m, 32.4 kg","Insomnia,Forewarn,Inner Focus",60,48,45,43,90,42,328
Hypno,PSYCHIC,"1.6 m, 75.6 kg","Insomnia,Forewarn,Inner Focus",85,73,70,73,115,67,483
Krabby,WATER,"0.4 m, 6.5 kg","Hyper Cutter,Shell Armor,Sheer Force",30,105,90,25,25,50,325
Kingler,WATER,"1.3 m, 60 kg","Hyper Cutter,Shell Armor,Sheer Force",55,130,115,50,50,75,475
Kingler-Gmax,WATER,"19 m, 0 kg","Hyper Cutter,Shell Armor,Sheer Force",55,130,115,50,50,75,475
Voltorb,ELECTRIC,"0.5 m, 10.4 kg","Soundproof,Static,Aftermath",40,30,50,55,55,100,330
Electrode,ELECTRIC,"1.2 m, 66.6 kg","Soundproof,Static,Aftermath",60,50,70,80,80,150,490
Exeggcute,"GRASS,PSYCHIC","0.4 m, 2.5 kg","Chlorophyll,Harvest",60,40,80,60,45,40,325
Exeggutor,"GRASS,PSYCHIC","2 m, 120 kg","Chlorophyll,Harvest",95,95,85,125,75,55,530
Exeggutor-Alola,"GRASS,DRAGON","10.9 m, 415.6 kg","Frisk,Harvest",95,105,85,125,75,45,530
Cubone,GROUND,"0.4 m, 6.5 kg","Rock Head,Lightning Rod,Battle Armor",50,50,95,40,50,35,320
Marowak,GROUND,"1 m, 45 kg","Rock Head,Lightning Rod,Battle Armor",60,80,110,50,80,45,425
Marowak-Alola,"FIRE,GHOST","1 m, 34 kg","Cursed Body,Lightning Rod,Rock Head",60,80,110,50,80,45,425
Marowak-Alola-Totem,"FIRE,GHOST","1.7 m, 98 kg",Rock Head,60,80,110,50,80,45,425
Hitmonlee,FIGHTING,"1.5 m, 49.8 kg","Limber,Reckless,Unburden",50,120,53,35,110,87,455
Hitmonchan,FIGHTING,"1.4 m, 50.2 kg","Keen Eye,Iron Fist,Inner Focus",50,105,79,35,110,76,455
Lickitung,NORMAL,"1.2 m, 65.5 kg","Own Tempo,Oblivious,Cloud Nine",90,55,75,60,75,30,385
Koffing,POISON,"0.6 m, 1 kg","Levitate,Neutralizing Gas,Stench",40,65,95,60,45,35,340
Weezing,POISON,"1.2 m, 9.5 kg","Levitate,Neutralizing Gas,Stench",65,90,120,85,70,60,490
Weezing-Galar,"POISON,FAIRY","3 m, 16 kg","Levitate,Neutralizing Gas,Misty Surge",65,90,120,85,70,60,490
Rhyhorn,"GROUND,ROCK","1 m, 115 kg","Lightning Rod,Rock Head,Reckless",80,85,95,30,30,25,345
Rhydon,"GROUND,ROCK","1.9 m, 120 kg","Lightning Rod,Rock Head,Reckless",105,130,120,45,45,40,485
Chansey,NORMAL,"1.1 m, 34.6 kg","Natural Cure,Serene Grace,Healer",250,5,5,35,105,50,450
Tangela,GRASS,"1 m, 35 kg","Chlorophyll,Leaf Guard,Regenerator",65,55,115,100,40,60,435
Kangaskhan,NORMAL,"2.2 m, 80 kg","Early Bird,Scrappy,Inner Focus",105,95,80,40,80,90,490
Kangaskhan-Mega,NORMAL,"2.2 m, 100 kg",Parental Bond,105,125,100,60,100,100,590
Horsea,WATER,"0.4 m, 8 kg","Swift Swim,Sniper,Damp",30,40,70,70,25,60,295
Seadra,WATER,"1.2 m, 25 kg","Poison Point,Sniper,Damp",55,65,95,95,45,85,440
Goldeen,WATER,"0.6 m, 15 kg","Swift Swim,Water Veil,Lightning Rod",45,67,60,35,50,63,320
Seaking,WATER,"1.3 m, 39 kg","Swift Swim,Water Veil,Lightning Rod",80,92,65,65,80,68,450
Staryu,WATER,"0.8 m, 34.5 kg","Illuminate,Natural Cure,Analytic",30,45,55,70,55,85,340
Starmie,"WATER,PSYCHIC","1.1 m, 80 kg","Illuminate,Natural Cure,Analytic",60,75,85,100,85,115,520
Mr. Mime,"PSYCHIC,FAIRY","1.3 m, 54.5 kg","Soundproof,Filter,Technician",40,45,65,100,120,90,460
Mr. Mime-Galar,"ICE,PSYCHIC","1.4 m, 56.8 kg","Vital Spirit,Screen Cleaner,Ice Body",50,65,65,90,90,100,460
Scyther,"BUG,FLYING","1.5 m, 56 kg","Swarm,Technician,Steadfast",70,110,80,55,80,105,500
Jynx,"ICE,PSYCHIC","1.4 m, 40.6 kg","Oblivious,Forewarn,Dry Skin",65,50,35,115,95,95,455
Electabuzz,ELECTRIC,"1.1 m, 30 kg","Static,Vital Spirit",65,83,57,95,85,105,490
Magmar,FIRE,"1.3 m, 44.5 kg","Flame Body,Vital Spirit",65,95,57,100,85,93,495
Pinsir,BUG,"1.5 m, 55 kg","Hyper Cutter,Mold Breaker,Moxie",65,125,100,55,70,85,500
Pinsir-Mega,"BUG,FLYING","1.7 m, 59 kg",Aerilate,65,155,120,65,90,105,600
Tauros,NORMAL,"1.4 m, 88.4 kg","Intimidate,Anger Point,Sheer Force",75,100,95,40,70,110,490
Magikarp,WATER,"0.9 m, 10 kg","Swift Swim,Rattled",20,10,55,15,20,80,200
Gyarados,"WATER,FLYING","6.5 m, 235 kg","Intimidate,Moxie",95,125,79,60,100,81,540
Gyarados-Mega,"WATER,DARK","6.5 m, 305 kg",Mold Breaker,95,155,109,70,130,81,640
Lapras,"WATER,ICE","2.5 m, 220 kg","Water Absorb,Shell Armor,Hydration",130,85,80,85,95,60,535
Lapras-Gmax,"WATER,ICE","24 m, 0 kg","Water Absorb,Shell Armor,Hydration",130,85,80,85,95,60,535
Ditto,NORMAL,"0.3 m, 4 kg","Limber,Imposter",48,48,48,48,48,48,288
Eevee,NORMAL,"0.3 m, 6.5 kg","Run Away,Adaptability,Anticipation",55,55,50,45,65,55,325
Eevee-Starter,NORMAL,"0.3 m, 6.5 kg","Run Away,Adaptability,Anticipation",65,75,70,65,85,75,435
Eevee-Gmax,NORMAL,"18 m, 0 kg","Run Away,Adaptability,Anticipation",55,55,50,45,65,55,325
Vaporeon,WATER,"1 m, 29 kg","Water Absorb,Hydration",130,65,60,110,95,65,525
Jolteon,ELECTRIC,"0.8 m, 24.5 kg","Volt Absorb,Quick Feet",65,65,60,110,95,130,525
Flareon,FIRE,"0.9 m, 25 kg","Flash Fire,Guts",65,130,60,95,110,65,525
Porygon,NORMAL,"0.8 m, 36.5 kg","Trace,Download,Analytic",65,60,70,85,75,40,395
Omanyte,"ROCK,WATER","0.4 m, 7.5 kg","Swift Swim,Shell Armor,Weak Armor",35,40,100,90,55,35,355
Omastar,"ROCK,WATER","1 m, 35 kg","Swift Swim,Shell Armor,Weak Armor",70,60,125,115,70,55,495
Kabuto,"ROCK,WATER","0.5 m, 11.5 kg","Swift Swim,Battle Armor,Weak Armor",30,80,90,55,45,55,355
Kabutops,"ROCK,WATER","1.3 m, 40.5 kg","Swift Swim,Battle Armor,Weak Armor",60,115,105,65,70,80,495
Aerodactyl,"ROCK,FLYING","1.8 m, 59 kg","Rock Head,Pressure,Unnerve",80,105,65,60,75,130,515
Aerodactyl-Mega,"ROCK,FLYING","2.1 m, 79 kg",Tough Claws,80,135,85,70,95,150,615
Snorlax,NORMAL,"2.1 m, 460 kg","Immunity,Thick Fat,Gluttony",160,110,65,65,110,30,540
Snorlax-Gmax,NORMAL,"35 m, 0 kg","Immunity,Thick Fat,Gluttony",160,110,65,65,110,30,540
Articuno,"ICE,FLYING","1.7 m, 55.4 kg","Pressure,Snow Cloak",90,85,100,95,125,85,580
Articuno-Galar,"PSYCHIC,FLYING","1.7 m, 50.9 kg",Competitive,90,85,85,125,100,95,580
Zapdos,"ELECTRIC,FLYING","1.6 m, 52.6 kg","Pressure,Static",90,90,85,125,90,100,580
Zapdos-Galar,"FIGHTING,FLYING","1.6 m, 58.2 kg",Defiant,90,125,90,85,90,100,580
Moltres,"FIRE,FLYING","2 m, 60 kg","Pressure,Flame Body",90,100,90,125,85,90,580
Moltres-Galar,"DARK,FLYING","2 m, 66 kg",Berserk,90,85,90,100,125,90,580
Dratini,DRAGON,"1.8 m, 3.3 kg","Shed Skin,Marvel Scale",41,64,45,50,50,50,300
Dragonair,DRAGON,"4 m, 16.5 kg","Shed Skin,Marvel Scale",61,84,65,70,70,70,420
Dragonite,"DRAGON,FLYING","2.2 m, 210 kg","Inner Focus,Multiscale",91,134,95,100,100,80,600
Mewtwo,PSYCHIC,"2 m, 122 kg","Pressure,Unnerve",106,110,90,154,90,130,680
Mewtwo-Mega-X,"PSYCHIC,FIGHTING","2.3 m, 127 kg",Steadfast,106,190,100,154,100,130,780
Mewtwo-Mega-Y,PSYCHIC,"1.5 m, 33 kg",Insomnia,106,150,70,194,120,140,780
Mew,PSYCHIC,"0.4 m, 4 kg",Synchronize,100,100,100,100,100,100,600
Chikorita,GRASS,"0.9 m, 6.4 kg","Overgrow,Leaf Guard",45,49,65,49,65,45,318
Bayleef,GRASS,"1.2 m, 15.8 kg","Overgrow,Leaf Guard",60,62,80,63,80,60,405
Meganium,GRASS,"1.8 m, 100.5 kg","Overgrow,Leaf Guard",80,82,100,83,100,80,525
Cyndaquil,FIRE,"0.5 m, 7.9 kg","Blaze,Flash Fire",39,52,43,60,50,65,309
Quilava,FIRE,"0.9 m, 19 kg","Blaze,Flash Fire",58,64,58,80,65,80,405
Typhlosion,FIRE,"1.7 m, 79.5 kg","Blaze,Flash Fire",78,84,78,109,85,100,534
Totodile,WATER,"0.6 m, 9.5 kg","Torrent,Sheer Force",50,65,64,44,48,43,314
Croconaw,WATER,"1.1 m, 25 kg","Torrent,Sheer Force",65,80,80,59,63,58,405
Feraligatr,WATER,"2.3 m, 88.8 kg","Torrent,Sheer Force",85,105,100,79,83,78,530
Sentret,NORMAL,"0.8 m, 6 kg","Run Away,Keen Eye,Frisk",35,46,34,35,45,20,215
Furret,NORMAL,"1.8 m, 32.5 kg","Run Away,Keen Eye,Frisk",85,76,64,45,55,90,415
Hoothoot,"NORMAL,FLYING","0.7 m, 21.2 kg","Insomnia,Keen Eye,Tinted Lens",60,30,30,36,56,50,262
Noctowl,"NORMAL,FLYING","1.6 m, 40.8 kg","Insomnia,Keen Eye,Tinted Lens",100,50,50,86,96,70,452
Ledyba,"BUG,FLYING","1 m, 10.8 kg","Swarm,Early Bird,Rattled",40,20,30,40,80,55,265
Ledian,"BUG,FLYING","1.4 m, 35.6 kg","Swarm,Early Bird,Iron Fist",55,35,50,55,110,85,390
Spinarak,"BUG,POISON","0.5 m, 8.5 kg","Swarm,Insomnia,Sniper",40,60,40,40,40,30,250
Ariados,"BUG,POISON","1.1 m, 33.5 kg","Swarm,Insomnia,Sniper",70,90,70,60,70,40,400
